CMBD,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC13,HC01_MOE_VC14
57,"CD414, Queens",435,208,68,462,2,208,175,2.1,1.6,1.4,1.0,0.6,1.3,3.2
69,"CD480, Queens",0,0,0,2,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1
4,"CD481, Queens",8,0,8,50,0,11,0,0.0,0.0,0.2,0.1,0.0,0.1,0.0
38,"CD482, Queens",1,3,0,11,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"CD483, Queens",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"CD484, Queens",1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"CD501, Staten Island",443,263,130,530,13,297,163,2.1,2.0,2.7,1.2,3.9,1.9,3.0
34,"CD502, Staten Island",132,136,28,429,5,85,29,0.6,1.0,0.6,1.0,1.5,0.5,0.5
35,"CD503, Staten Island",81,104,40,251,3,38,20,0.4,0.8,0.8,0.6,0.9,0.2,0.4
12,"CD595, Staten Island",1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
